gcf1,gcf2,count,jaccard_index,distance,weight
GCF_3d8d22f50e,GCF_4cbf727851,33,0.91666667,0.08333332999999998,0.91666667
GCF_3d8d22f50e,GCF_dff1315438,33,0.91666667,0.08333332999999998,0.91666667
GCF_476ec3a0da,GCF_93175e4f70,33,0.91666667,0.08333332999999998,0.91666667
GCF_8089d0751b,GCF_974f8f6175,22,0.91666667,0.08333332999999998,0.91666667
GCF_93175e4f70,GCF_c62aeb0156,33,0.91666667,0.08333332999999998,0.91666667
GCF_ac62e2c60f,GCF_bd7b2b6b51,22,0.91666667,0.08333332999999998,0.91666667
GCF_ea8cb5ca47,GCF_eef8e7f647,33,0.91666667,0.08333332999999998,0.91666667
GCF_6334c26e5f,GCF_6fa8c83513,75,0.91463415,0.08536584999999997,0.91463415
GCF_96abdbc29c,GCF_9ec27c911a,32,0.91428571,0.08571428999999997,0.91428571
GCF_b5db9adc2b,GCF_d230814bc9,64,0.91428571,0.08571428999999997,0.91428571
GCF_0dce6ff794,GCF_29e8b9be73,21,0.91304348,0.08695651999999998,0.91304348
GCF_28ac8833b7,GCF_af9ea4b023,21,0.91304348,0.08695651999999998,0.91304348
GCF_412bff9e3b,GCF_b53a9f254f,21,0.91304348,0.08695651999999998,0.91304348
GCF_1446668f30,GCF_6fa8c83513,73,0.9125,0.08750000000000002,0.9125
GCF_06523cd386,GCF_6e3277956b,31,0.91176471,0.08823528999999997,0.91176471
GCF_9baf57b40e,GCF_dd0c0f1f08,31,0.91176471,0.08823528999999997,0.91176471
GCF_a50177a349,GCF_dd0c0f1f08,31,0.91176471,0.08823528999999997,0.91176471
GCF_2d9daa10c6,GCF_39ed86d51c,82,0.91111111,0.08888889,0.91111111
GCF_0b54886084,GCF_ce513e1488,20,0.90909091,0.09090909000000003,0.90909091
GCF_1446668f30,GCF_289502f8a4,70,0.90909091,0.09090909000000003,0.90909091
GCF_17bfe67522,GCF_90218c0219,20,0.90909091,0.09090909000000003,0.90909091
GCF_8576395efd,GCF_dcc7547f35,20,0.90909091,0.09090909000000003,0.90909091
GCF_8ad7093808,GCF_d57679f1c4,20,0.90909091,0.09090909000000003,0.90909091
GCF_749ed6e8f1,GCF_7a431fb4b0,29,0.90625,0.09375,0.90625
GCF_a0e395c308,GCF_e6167f879c,29,0.90625,0.09375,0.90625
GCF_115f42156c,GCF_1d1bb8257a,67,0.90540541,0.09459459000000003,0.90540541
GCF_342874d637,GCF_55f5a6e15a,56,0.90322581,0.09677418999999998,0.90322581
